Date,Year,Month Number,Month,Quarter,Week,Day,Day Name
13-04-2015 00:00,2015,4,April,Q2,16,13,Monday
14-04-2015 00:00,2015,4,April,Q2,16,14,Tuesday
15-04-2015 00:00,2015,4,April,Q2,16,15,Wednesday
16-04-2015 00:00,2015,4,April,Q2,16,16,Thursday
17-04-2015 00:00,2015,4,April,Q2,16,17,Friday
18-04-2015 00:00,2015,4,April,Q2,16,18,Saturday
19-04-2015 00:00,2015,4,April,Q2,17,19,Sunday
20-04-2015 00:00,2015,4,April,Q2,17,20,Monday
21-04-2015 00:00,2015,4,April,Q2,17,21,Tuesday
22-04-2015 00:00,2015,4,April,Q2,17,22,Wednesday
23-04-2015 00:00,2015,4,April,Q2,17,23,Thursday
24-04-2015 00:00,2015,4,April,Q2,17,24,Friday
25-04-2015 00:00,2015,4,April,Q2,17,25,Saturday
26-04-2015 00:00,2015,4,April,Q2,18,26,Sunday
27-04-2015 00:00,2015,4,April,Q2,18,27,Monday
28-04-2015 00:00,2015,4,April,Q2,18,28,Tuesday
29-04-2015 00:00,2015,4,April,Q2,18,29,Wednesday
30-04-2015 00:00,2015,4,April,Q2,18,30,Thursday
01-05-2015 00:00,2015,5,May,Q2,18,1,Friday
02-05-2015 00:00,2015,5,May,Q2,18,2,Saturday
03-05-2015 00:00,2015,5,May,Q2,19,3,Sunday
04-05-2015 00:00,2015,5,May,Q2,19,4,Monday
05-05-2015 00:00,2015,5,May,Q2,19,5,Tuesday
06-05-2015 00:00,2015,5,May,Q2,19,6,Wednesday
07-05-2015 00:00,2015,5,May,Q2,19,7,Thursday
08-05-2015 00:00,2015,5,May,Q2,19,8,Friday
09-05-2015 00:00,2015,5,May,Q2,19,9,Saturday
10-05-2015 00:00,2015,5,May,Q2,20,10,Sunday
11-05-2015 00:00,2015,5,May,Q2,20,11,Monday
12-05-2015 00:00,2015,5,May,Q2,20,12,Tuesday
13-05-2015 00:00,2015,5,May,Q2,20,13,Wednesday
14-05-2015 00:00,2015,5,May,Q2,20,14,Thursday
15-05-2015 00:00,2015,5,May,Q2,20,15,Friday
16-05-2015 00:00,2015,5,May,Q2,20,16,Saturday
17-05-2015 00:00,2015,5,May,Q2,21,17,Sunday
18-05-2015 00:00,2015,5,May,Q2,21,18,Monday
19-05-2015 00:00,2015,5,May,Q2,21,19,Tuesday
20-05-2015 00:00,2015,5,May,Q2,21,20,Wednesday
21-05-2015 00:00,2015,5,May,Q2,21,21,Thursday
22-05-2015 00:00,2015,5,May,Q2,21,22,Friday
23-05-2015 00:00,2015,5,May,Q2,21,23,Saturday
24-05-2015 00:00,2015,5,May,Q2,22,24,Sunday
25-05-2015 00:00,2015,5,May,Q2,22,25,Monday
26-05-2015 00:00,2015,5,May,Q2,22,26,Tuesday
27-05-2015 00:00,2015,5,May,Q2,22,27,Wednesday
28-05-2015 00:00,2015,5,May,Q2,22,28,Thursday
29-05-2015 00:00,2015,5,May,Q2,22,29,Friday
30-05-2015 00:00,2015,5,May,Q2,22,30,Saturday
31-05-2015 00:00,2015,5,May,Q2,23,31,Sunday
01-06-2015 00:00,2015,6,June,Q2,23,1,Monday
02-06-2015 00:00,2015,6,June,Q2,23,2,Tuesday
03-06-2015 00:00,2015,6,June,Q2,23,3,Wednesday
04-06-2015 00:00,2015,6,June,Q2,23,4,Thursday
05-06-2015 00:00,2015,6,June,Q2,23,5,Friday
06-06-2015 00:00,2015,6,June,Q2,23,6,Saturday
07-06-2015 00:00,2015,6,June,Q2,24,7,Sunday
08-06-2015 00:00,2015,6,June,Q2,24,8,Monday
09-06-2015 00:00,2015,6,June,Q2,24,9,Tuesday
10-06-2015 00:00,2015,6,June,Q2,24,10,Wednesday
11-06-2015 00:00,2015,6,June,Q2,24,11,Thursday
12-06-2015 00:00,2015,6,June,Q2,24,12,Friday
13-06-2015 00:00,2015,6,June,Q2,24,13,Saturday
14-06-2015 00:00,2015,6,June,Q2,25,14,Sunday
15-06-2015 00:00,2015,6,June,Q2,25,15,Monday
16-06-2015 00:00,2015,6,June,Q2,25,16,Tuesday
